vdnumber,registered,valid,spoilt,total
76060054,1451,871,15,886
97142014,1649,1294,12,1306
54890534,1708,1337,39,1376
65370056,493,393,2,395
11630797,416,211,0,211
43625594,1053,876,28,904
43400067,4367,2967,16,2983
43790014,1442,1119,18,1137
22120221,408,339,0,339
10910528,622,371,6,377
97280017,1915,1077,25,1102
11100115,466,338,6,344
97980058,418,388,2,390
10790333,240,140,3,143
86992543,908,658,11,669
86552837,309,238,6,244
97730028,1311,911,14,925
54750023,1468,1149,7,1156
43581023,247,170,4,174
43950146,3235,2013,30,2043
43502453,597,422,6,428
11751432,429,302,6,308
11390149,1339,695,11,706
43691003,501,377,4,381
33250801,1581,1374,17,1391
76210578,1288,534,9,543
54790274,2919,1996,22,2018
33061182,829,1013,7,1020
76510032,177,81,0,81
86554200,576,500,23,523
86741376,923,637,0,637
